iter	Logloss
0	0.6853469858
1	0.678704887
2	0.6716022656
3	0.6650328987
4	0.6583539126
5	0.6515789979
6	0.6449543826
7	0.6387345842
8	0.6332237877
9	0.6265249502
10	0.6199130154
11	0.6141888927
12	0.6084552983
13	0.6026903251
14	0.5967999443
15	0.5916742388
16	0.5865036934
17	0.5820719999
18	0.5768692025
19	0.5722634494
20	0.5677441227
21	0.5626220922
22	0.5576559015
23	0.5535257311
24	0.5495534191
25	0.5460844788
26	0.5406781309
27	0.5351187402
28	0.5312115047
29	0.5270201926
30	0.5216798433
31	0.5167529754
32	0.513368059
33	0.5099284976
34	0.5062414358
35	0.5033936923
36	0.4999578732
37	0.4964231247
38	0.4926442895
39	0.4888150808
40	0.4860017704
41	0.4832083841
42	0.4804237004
43	0.4769920987
44	0.4734986756
45	0.4703202816
46	0.4676095823
47	0.4639744211
48	0.4610069574
49	0.4573781182
50	0.4541974617
51	0.4513887488
52	0.4481878734
53	0.4448641321
54	0.4425091195
55	0.4399066532
56	0.4366996814
57	0.4336818029
58	0.4307900436
59	0.4285027529
60	0.4257782241
61	0.4230544106
62	0.4204078402
63	0.4181099482
64	0.4162252152
65	0.4144273169
66	0.4121806176
67	0.4100974183
68	0.4073406025
69	0.4053756994
70	0.4035401654
71	0.4006782807
72	0.3985829006
73	0.396711122
74	0.3946641074
75	0.3931488029
76	0.3912115415
77	0.3885067815
78	0.3864640952
79	0.384270368
80	0.3821726795
81	0.3798912427
82	0.377856354
83	0.3763088389
84	0.3745991189
85	0.3730012627
86	0.3713839827
87	0.3694295725
88	0.3681190902
89	0.3665389489
90	0.3650451966
91	0.3627491016
92	0.361298304
93	0.3599520154
94	0.3583859717
95	0.3574119931
96	0.3560845273
97	0.3550392669
98	0.353581895
99	0.3518600627
100	0.350477774
101	0.3490056787
102	0.3478636293
103	0.3469943808
104	0.3456983825
105	0.3444623484
106	0.3432406668
107	0.3421423723
108	0.3406588943
109	0.3393944006
110	0.3380742656
111	0.3368033887
112	0.3356343213
113	0.3339560935
114	0.3329623294
115	0.3313261855
116	0.3301170353
117	0.3291952447
118	0.3279846057
119	0.3270081722
120	0.3257676721
121	0.3243615024
122	0.3233987617
123	0.3225108018
124	0.3216683129
125	0.3198301027
126	0.3189122228
127	0.3176641144
128	0.3158872829
129	0.3149045466
130	0.3142422624
131	0.3130395883
132	0.3122042347
133	0.3114590216
134	0.3105349252
135	0.3096545734
136	0.3084899606
137	0.307409151
138	0.3068515198
139	0.305752931
140	0.3044335641
141	0.303618132
142	0.302731702
143	0.302090409
144	0.301393267
145	0.3002425688
146	0.299445074
147	0.298409894
148	0.2974326059
149	0.2966166973
150	0.2960318373
151	0.2952333654
152	0.2940326581
153	0.2934735443
154	0.292733672
155	0.2915843764
156	0.2909879533
157	0.2902789925
158	0.2896850869
159	0.2888069238
160	0.2880185587
161	0.2875128588
162	0.2863669664
163	0.2858422602
164	0.2849891837
165	0.2840296426
166	0.2834837341
167	0.2829582266
168	0.2824335471
169	0.2815396055
170	0.2805704759
171	0.2801029962
172	0.2795844681
173	0.2792811657
174	0.2783061197
175	0.2776151033
176	0.2773362075
177	0.2767357381
178	0.2761548579
179	0.2755573887
180	0.2750043025
181	0.2745490264
182	0.273609583
183	0.2726010139
184	0.2714380211
185	0.2708339477
186	0.2698261784
187	0.2690382616
188	0.268041645
189	0.2669361978
190	0.2661857932
191	0.2658468789
192	0.26552631
193	0.2647075563
194	0.2643005103
195	0.2633400364
196	0.2629474313
197	0.2621699273
198	0.2617540393
199	0.2609656952
200	0.2605515021
201	0.2600512701
202	0.2593706492
203	0.2588965045
204	0.2580038616
205	0.2577592482
206	0.2568762736
207	0.2562961378
208	0.2555900488
209	0.2552009737
210	0.2544462163
211	0.2540433608
212	0.2536690967
213	0.2527868191
214	0.2522342172
215	0.2517212908
216	0.2512335361
